# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
3.05            	((1.43555055e+00 5.64866152e-09 7.16471759e-21) (9.55642163e-01 1.49485559e-08 -5.08179425e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.97467363e-20 -7.04793168e-21 1.52048513e-15) (-6.03099065e-20 8.02231394e-23 2.44183854e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.1             	((1.43453298e+00 6.53967963e-09 7.14074945e-21) (9.52817608e-01 1.46533915e-08 -5.11523895e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.02157310e-20 -7.04940225e-21 1.82015861e-15) (-6.02526854e-20 8.04705524e-23 2.48698630e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.15            	((1.43350245e+00 -3.83522030e-07 7.11707610e-21) (9.50075508e-01 6.10162854e-09 -5.14531972e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.06683437e-20 -7.05067986e-21 7.60394352e-15) (-6.01953874e-20 8.06863885e-23 2.49758893e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.2             	((1.43245931e+00 -1.63146433e-08 7.09363864e-21) (9.47411947e-01 1.08041349e-08 -5.17212026e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.11050768e-20 -7.05177144e-21 4.61956862e-15) (-6.01382363e-20 8.08740169e-23 2.77959560e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.25            	((1.43140390e+00 -1.16913832e-07 7.07049497e-21) (9.44823251e-01 1.31922111e-08 -5.19588004e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.15264819e-20 -7.05267992e-21 5.50796388e-15) (-6.00812377e-20 8.10327087e-23 3.00046433e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.3             	((1.43033622e+00 -1.05265088e-07 7.04760814e-21) (9.42305967e-01 1.39934835e-08 -5.21675766e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.19330525e-20 -7.05340794e-21 5.56954656e-15) (-6.00243481e-20 8.11656970e-23 3.22576163e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.35            	((1.42925678e+00 -9.89899709e-08 7.02497796e-21) (9.39856837e-01 1.42596909e-08 -5.23492706e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.23252863e-20 -7.05396095e-21 5.73391161e-15) (-5.99675965e-20 8.12741286e-23 3.43133037e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.4             	((1.42816587e+00 -9.22812550e-08 7.00259985e-21) (9.37472803e-01 1.43368359e-08 -5.25054823e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.27036614e-20 -7.05434279e-21 5.94706576e-15) (-5.99110051e-20 8.13595139e-23 3.61202328e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.45            	((1.42706382e+00 -8.55324771e-08 6.98046934e-21) (9.35150994e-01 1.43228906e-08 -5.26377444e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.30686430e-20 -7.05455764e-21 6.17908502e-15) (-5.98545799e-20 8.14232521e-23 3.76765662e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.5             	((1.42595127e+00 -7.88314273e-08 6.95858169e-21) (9.32888694e-01 1.42571802e-08 -5.27474371e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.34206833e-20 -7.05461087e-21 6.43755882e-15) (-5.97983272e-20 8.14666345e-23 3.90135629e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.55            	((1.42482855e+00 -7.23428992e-08 6.93693275e-21) (9.30683348e-01 1.41497347e-08 -5.28359273e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.37602179e-20 -7.05450648e-21 6.71923454e-15) (-5.97422529e-20 8.14909165e-23 4.01548241e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.6             	((1.42369621e+00 -6.60411119e-08 6.91551830e-21) (9.28532547e-01 1.40086434e-08 -5.29044929e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.40876727e-20 -7.05424922e-21 7.02454588e-15) (-5.96863649e-20 8.14972840e-23 4.11210242e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.65            	((1.42255508e+00 -8.63164243e-08 6.89434575e-21) (9.26433988e-01 1.39777359e-08 -5.29517711e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.44034495e-20 -7.05384350e-21 -6.50521303e-18) (-5.96306766e-20 8.14871700e-23 4.19913462e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.7             	((1.42140502e+00 -7.91699327e-08 6.87338899e-21) (9.24385560e-01 1.40237591e-08 -5.29837797e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.47079706e-20 -7.05329468e-21 -1.82796486e-16) (-5.95751862e-20 8.14610966e-23 4.28213610e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.75            	((1.42024702e+00 -7.37716943e-08 6.85265530e-21) (9.22385240e-01 1.39953340e-08 -5.29993571e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.50016116e-20 -7.05260756e-21 -5.83951290e-16) (-5.95199134e-20 8.14203079e-23 4.35472232e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
