# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
10.65           	-6.68167061e-09	2.10670050e+00	2.68285112e-07	1.27460886e-07	1.40824227e-07
10.7            	-6.76390249e-09	2.10584424e+00	2.63618993e-07	1.25045594e-07	1.38573399e-07
10.75           	-6.84626145e-09	2.10499512e+00	2.59147320e-07	1.22727398e-07	1.36419921e-07
10.8            	-6.92833572e-09	2.10415307e+00	2.54774569e-07	1.20458949e-07	1.34315620e-07
10.85           	-7.00986831e-09	2.10331804e+00	2.50521024e-07	1.18250644e-07	1.32270380e-07
10.9            	-7.09070325e-09	2.10248995e+00	2.46353596e-07	1.16086095e-07	1.30267501e-07
10.95           	-7.17071010e-09	2.10166876e+00	2.42331297e-07	1.13994938e-07	1.28336358e-07
11              	-7.24980622e-09	2.10085438e+00	2.38427704e-07	1.11964046e-07	1.26463658e-07
11.05           	-7.32791884e-09	2.10004676e+00	2.34646055e-07	1.09995109e-07	1.24650946e-07
11.1            	-7.40498503e-09	2.09924584e+00	2.30982649e-07	1.08086340e-07	1.22896310e-07
11.15           	-7.48094524e-09	2.09845156e+00	2.27434874e-07	1.06236492e-07	1.21198382e-07
11.2            	-7.55574210e-09	2.09766386e+00	2.23999834e-07	1.04444175e-07	1.19555659e-07
11.25           	-7.62932113e-09	2.09688267e+00	2.20674493e-07	1.02707926e-07	1.17966568e-07
11.3            	-7.70162810e-09	2.09610795e+00	2.17455973e-07	1.01026358e-07	1.16429615e-07
11.35           	-7.77261105e-09	2.09533963e+00	2.14341284e-07	9.93980311e-08	1.14943253e-07
11.4            	-7.84221881e-09	2.09457767e+00	2.11323910e-07	9.78197362e-08	1.13504174e-07
11.45           	-7.91040408e-09	2.09382199e+00	2.08411581e-07	9.62953863e-08	1.12116194e-07
11.5            	-7.97712477e-09	2.09307255e+00	2.05591708e-07	9.48187294e-08	1.10772979e-07
11.55           	-8.04233502e-09	2.09232930e+00	2.02864608e-07	9.33899688e-08	1.09474639e-07
11.6            	-8.10598457e-09	2.09159217e+00	2.00228700e-07	9.20083653e-08	1.08220334e-07
11.65           	-8.16801313e-09	2.09086113e+00	1.97679128e-07	9.06715509e-08	1.07007577e-07
11.7            	-8.22838281e-09	2.09013611e+00	1.95214638e-07	8.93789364e-08	1.05835702e-07
11.75           	-8.28704646e-09	2.08941706e+00	1.92831979e-07	8.81289432e-08	1.04703036e-07
11.8            	-8.34395909e-09	2.08870393e+00	1.90528700e-07	8.69203910e-08	1.03608309e-07
11.85           	-8.39908102e-09	2.08799668e+00	1.88302185e-07	8.57520116e-08	1.02550174e-07
